12775;DIREITO À EDUCAÇÃO;null;DIREITO À EDUCAÇÃO (12775)
12795;Acesso;12775;DIREITO À EDUCAÇÃO (12775) | Acesso (12795)
12805;Acesso sem Conclusão do Ensino Médio;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Acesso sem Conclusão do Ensino Médio (12805)
14177;Ciência Sem Fronteiras;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Ciência Sem Fronteiras (14177)
12808;Cobrança de Taxa de Matrícula;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Cobrança de Taxa de Matrícula (12808)
12806;Convalidação de Estudos e Reconhecimento de Diploma;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Convalidação de Estudos e Reconhecimento de Diploma (12806)
12809;Cota para Ingresso - Ações Afirmativas;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Cota para Ingresso - Ações Afirmativas (12809)
12810;Itinerários Formativos;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Itinerários Formativos (12810)
12910;Formação Técnica e Profissional;12810;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Itinerários Formativos (12810) | Formação Técnica e Profissional (12910)
12911;Itinerários Formativos do Ensino Médio;12810;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Itinerários Formativos (12810) | Itinerários Formativos do Ensino Médio (12911)
14240;Matrícula - Ausência de Pré-Requisito;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Matrícula - Ausência de Pré-Requisito (14240)
14179;Perda de Prazo de Matrícula;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Perda de Prazo de Matrícula (14179)
12804;Processo Seletivo;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804)
12902;Exames Oficiais para Ingresso - Enem;12804;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Exames Oficiais para Ingresso - Enem (12902)
12903;Acessibilidade;12902;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Exames Oficiais para Ingresso - Enem (12902) | Acessibilidade (12903)
12904;Outros;12902;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Exames Oficiais para Ingresso - Enem (12902) | Outros (12904)
12912;Taxa de Inscrição;12902;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Exames Oficiais para Ingresso - Enem (12902) | Taxa de Inscrição (12912)
12905;Outros;12804;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Outros (12905)
12906;Acessibilidade;12905;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Outros (12905) | Acessibilidade (12906)
12907;Outros;12905;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Outros (12905) | Outros (12907)
12913;Taxa de Inscrição;12905;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Outros (12905) | Taxa de Inscrição (12913)
12899;Vestibular;12804;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Vestibular (12899)
12900;Acessibilidade;12899;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Vestibular (12899) | Acessibilidade (12900)
12901;Outros;12899;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Vestibular (12899) | Outros (12901)
12914;Taxa de Inscrição;12899;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Processo Seletivo (12804) | Vestibular (12899) | Taxa de Inscrição (12914)
14178;Renovação de Matrícula - Inadimplência;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Renovação de Matrícula - Inadimplência (14178)
12807;Transferência Discente;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Transferência Discente (12807)
12908;Militar;12807;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Transferência Discente (12807) | Militar (12908)
12909;Outras;12807;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Transferência Discente (12807) | Outras (12909)
12803;Vaga;12795;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Vaga (12803)
12895;Acesso Próximo do Domicílio;12803;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Vaga (12803) | Acesso Próximo do Domicílio (12895)
12893;Ausência de Vaga;12803;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Vaga (12803) | Ausência de Vaga (12893)
12894;Corte Etário;12803;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Vaga (12803) | Corte Etário (12894)
12896;Matrícula de Irmãos na Mesma Escola;12803;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Vaga (12803) | Matrícula de Irmãos na Mesma Escola (12896)
12897;Prioridade de Matrícula para Alunos com Deficiência;12803;DIREITO À EDUCAÇÃO (12775) | Acesso (12795) | Vaga (12803) | Prioridade de Matrícula para Alunos com Deficiência (12897)
12798;Avaliação e Controle;12775;DIREITO À EDUCAÇÃO (12775) | Avaliação e Controle (12798)
12814;Autorização de Funcionamento/Fiscalização de Estabelecimentos de Ensino;12798;DIREITO À EDUCAÇÃO (12775) | Avaliação e Controle (12798) | Autorização de Funcionamento/Fiscalização de Estabelecimentos de Ensino (12814)
12811;Autorização e Reconhecimento de Cursos;12798;DIREITO À EDUCAÇÃO (12775) | Avaliação e Controle (12798) | Autorização e Reconhecimento de Cursos (12811)
12812;Credenciamento e Recredenciamento;12798;DIREITO À EDUCAÇÃO (12775) | Avaliação e Controle (12798) | Credenciamento e Recredenciamento (12812)
12813;Enade;12798;DIREITO À EDUCAÇÃO (12775) | Avaliação e Controle (12798) | Enade (12813)
12793;Educação Básica;12775;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793)
12816;Educação Fundamental Regular - Anos Finais;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Educação Fundamental Regular - Anos Finais (12816)
12817;Educação Fundamental Regular - Anos Iniciais;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Educação Fundamental Regular - Anos Iniciais (12817)
12818;Educação Infantil - Creche;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Educação Infantil - Creche (12818)
12819;Educação Infantil - Pré-Escola;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Educação Infantil - Pré-Escola (12819)
12822;EJA - Ensino Fundamental - Anos Finais;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | EJA - Ensino Fundamental - Anos Finais (12822)
12821;EJA - Ensino Fundamental - Anos Iniciais;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | EJA - Ensino Fundamental - Anos Iniciais (12821)
12820;EJA - Ensino Médio;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | EJA - Ensino Médio (12820)
12815;Ensino Médio Regular;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Ensino Médio Regular (12815)
12826;Ensino Noturno;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Ensino Noturno (12826)
12824;Indígenas;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Indígenas (12824)
12825;Quilombolas;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Quilombolas (12825)
12915;Sistema Prisional;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Sistema Prisional (12915)
12823;Sistema Socioeducativo;12793;DIREITO À EDUCAÇÃO (12775) | Educação Básica (12793) | Sistema Socioeducativo (12823)
12796;Educação Especial;12775;DIREITO À EDUCAÇÃO (12775) | Educação Especial (12796)
12830;Acessibilidade Física;12796;DIREITO À EDUCAÇÃO (12775) | Educação Especial (12796) | Acessibilidade Física (12830)
12829;Institucionalização Pedagógica do Atendimento Educacional Especializado;12796;DIREITO À EDUCAÇÃO (12775) | Educação Especial (12796) | Institucionalização Pedagógica do Atendimento Educacional Especializado (12829)
12831;Material Didático Especializado, Tecnologias Assistivas e Suporte;12796;DIREITO À EDUCAÇÃO (12775) | Educação Especial (12796) | Material Didático Especializado, Tecnologias Assistivas e Suporte (12831)
12827;Profissionais de Apoio;12796;DIREITO À EDUCAÇÃO (12775) | Educação Especial (12796) | Profissionais de Apoio (12827)
12828;Sala de Recursos Multifuncionais;12796;DIREITO À EDUCAÇÃO (12775) | Educação Especial (12796) | Sala de Recursos Multifuncionais (12828)
12832;Educação Superior;12775;DIREITO À EDUCAÇÃO (12775) | Educação Superior (12832)
12833;Graduação (Bacharelado, Licenciatura, Profissional Tecnológica);12832;DIREITO À EDUCAÇÃO (12775) | Educação Superior (12832) | Graduação (Bacharelado, Licenciatura, Profissional Tecnológica) (12833)
12834;Pós-Graduação;12832;DIREITO À EDUCAÇÃO (12775) | Educação Superior (12832) | Pós-Graduação (12834)
12835;Ensino à Distância;12775;DIREITO À EDUCAÇÃO (12775) | Ensino à Distância (12835)
12801;Financiamento;12775;DIREITO À EDUCAÇÃO (12775) | Financiamento (12801)
12837;Despesa;12801;DIREITO À EDUCAÇÃO (12775) | Financiamento (12801) | Despesa (12837)
12838;Manutenção e Desenvolvimento do Ensino;12837;DIREITO À EDUCAÇÃO (12775) | Financiamento (12801) | Despesa (12837) | Manutenção e Desenvolvimento do Ensino (12838)
12925;Financiamento Privado do Ensino Superior e/ou Pesquisa;12801;DIREITO À EDUCAÇÃO (12775) | Financiamento (12801) | Financiamento Privado do Ensino Superior e/ou Pesquisa (12925)
12799;Gestão;12775;DIREITO À EDUCAÇÃO (12775) | Gestão (12799)
12840;Autonomia da Instituição de Ensino;12799;DIREITO À EDUCAÇÃO (12775) | Gestão (12799) | Autonomia da Instituição de Ensino (12840)
12839;Estatutos e Regimentos - Regras de Convivência e Sanções Disciplinares;12799;DIREITO À EDUCAÇÃO (12775) | Gestão (12799) | Estatutos e Regimentos - Regras de Convivência e Sanções Disciplinares (12839)
12924;Jubilamento de Aluno;12799;DIREITO À EDUCAÇÃO (12775) | Gestão (12799) | Jubilamento de Aluno (12924)
12921;Penalidades Disciplinares;12799;DIREITO À EDUCAÇÃO (12775) | Gestão (12799) | Penalidades Disciplinares (12921)
12794;Permanência;12775;DIREITO À EDUCAÇÃO (12775) | Permanência (12794)
12929;Colação de Grau;12794;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Colação de Grau (12929)
12848;Evasão e Abandono;12794;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Evasão e Abandono (12848)
12842;Expedição de Diplomas e Omissão na Entrega das Notas;12794;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Expedição de Diplomas e Omissão na Entrega das Notas (12842)
12841;Mensalidades;12794;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Mensalidades (12841)
12849;Programas de Assistência Estudantil - Alimentação, Moradia, Creche, Transporte ;12794;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Programas de Assistência Estudantil - Alimentação, Moradia, Creche, Transporte  (12849)
12843;Programas de Bolsas e Financiamento Estudantil com Recursos Públicos ;12794;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Programas de Bolsas e Financiamento Estudantil com Recursos Públicos  (12843)
12844;Fies;12843;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Programas de Bolsas e Financiamento Estudantil com Recursos Públicos  (12843) | Fies (12844)
12846;Outros;12843;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Programas de Bolsas e Financiamento Estudantil com Recursos Públicos  (12843) | Outros (12846)
12845;Prouni;12843;DIREITO À EDUCAÇÃO (12775) | Permanência (12794) | Programas de Bolsas e Financiamento Estudantil com Recursos Públicos  (12843) | Prouni (12845)
12802;Planos Decenais;12775;DIREITO À EDUCAÇÃO (12775) | Planos Decenais (12802)
12916;Plano Estadual de Educação;12802;DIREITO À EDUCAÇÃO (12775) | Planos Decenais (12802) | Plano Estadual de Educação (12916)
12919;Processo de Elaboração;12916;DIREITO À EDUCAÇÃO (12775) | Planos Decenais (12802) | Plano Estadual de Educação (12916) | Processo de Elaboração (12919)
12850;Plano Municipal de Educação;12802;DIREITO À EDUCAÇÃO (12775) | Planos Decenais (12802) | Plano Municipal de Educação (12850)
12917;Plano Nacional de Educação;12802;DIREITO À EDUCAÇÃO (12775) | Planos Decenais (12802) | Plano Nacional de Educação (12917)
12797;Qualidade;12775;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797)
12862;Alimentação Escolar;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Alimentação Escolar (12862)
12857;Bullying, Violência e Discriminação;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Bullying, Violência e Discriminação (12857)
12928;Colisão de Horário;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Colisão de Horário (12928)
12927;Currículo Escolar;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Currículo Escolar (12927)
12852;Distorção de Série/Idade;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Distorção de Série/Idade (12852)
12865;Estudos de Recuperação;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Estudos de Recuperação (12865)
12853;Exames de Certificação - Diploma;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Exames de Certificação - Diploma (12853)
12926;Exigência de Estágio Profissionalizante;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Exigência de Estágio Profissionalizante (12926)
12858;Formação Técnica Profissional;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Formação Técnica Profissional (12858)
12864;Infraestrutura;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Infraestrutura (12864)
12854;Infrequência Escolar;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Infrequência Escolar (12854)
12856;Material Didático;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Material Didático (12856)
12922;Omissão na Entrega de Notas;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Omissão na Entrega de Notas (12922)
12860;Quantidade de Alunos por Sala;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Quantidade de Alunos por Sala (12860)
12863;Regime Hospitalar ou Domiciliar durante Período de Internação;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Regime Hospitalar ou Domiciliar durante Período de Internação (12863)
12861;Relações Étnico-Raciais;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Relações Étnico-Raciais (12861)
12920;Residência Médica;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Residência Médica (12920)
12855;Transporte;12797;DIREITO À EDUCAÇÃO (12775) | Qualidade (12797) | Transporte (12855)
12800;Valorização do Magistério e dos Profissionais da Educação ;12775;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800)
12868;Absenteísmo Docente;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Absenteísmo Docente (12868)
12870;Faltas;12868;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Absenteísmo Docente (12868) | Faltas (12870)
12873;Faltas Justificadas;12870;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Absenteísmo Docente (12868) | Faltas (12870) | Faltas Justificadas (12873)
12874;Faltas não Justificadas;12870;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Absenteísmo Docente (12868) | Faltas (12870) | Faltas não Justificadas (12874)
12869;Licenças;12868;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Absenteísmo Docente (12868) | Licenças (12869)
12871;Licença Saúde;12869;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Absenteísmo Docente (12868) | Licenças (12869) | Licença Saúde (12871)
12872;Outras Licenças;12869;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Absenteísmo Docente (12868) | Licenças (12869) | Outras Licenças (12872)
12875;Aposentadoria Especial;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Aposentadoria Especial (12875)
12879;Ensino à Distância;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Ensino à Distância (12879)
12880;Certificação;12879;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Ensino à Distância (12879) | Certificação (12880)
12876;Espécies de Vínculo de Trabalho;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Espécies de Vínculo de Trabalho (12876)
12877;Contrato Temporário;12876;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Espécies de Vínculo de Trabalho (12876) | Contrato Temporário (12877)
12878;Estatutário;12876;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Espécies de Vínculo de Trabalho (12876) | Estatutário (12878)
12891;Formação;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Formação (12891)
12892;Continuada;12891;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Formação (12891) | Continuada (12892)
12888;Greve;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Greve (12888)
12889;Contrato Temporário;12888;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Greve (12888) | Contrato Temporário (12889)
12890;Outros;12888;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Greve (12888) | Outros (12890)
12866;Jornada de Trabalho;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Jornada de Trabalho (12866)
12867;Carga Horária de Aulas/Processo de Atribuição de Aulas e Classes;12866;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Jornada de Trabalho (12866) | Carga Horária de Aulas/Processo de Atribuição de Aulas e Classes (12867)
12881;Plano de Carreira;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881)
12883;Certificação;12881;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881) | Certificação (12883)
12884;Concurso de Ingresso;12881;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881) | Concurso de Ingresso (12884)
12882;Progressão;12881;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Plano de Carreira (12881) | Progressão (12882)
12885;Remuneração;12800;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Remuneração (12885)
12887;Piso Salarial;12885;DIREITO À EDUCAÇÃO (12775) | Valorização do Magistério e dos Profissionais da Educação  (12800) | Remuneração (12885) | Piso Salarial (12887)
13254;Permuta ;10187;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Agentes Políticos (10186) | Magistratura (10187) | Permuta  (13254)
13323;Vitaliciamento ;10187;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Agentes Políticos (10186) | Magistratura (10187) | Vitaliciamento  (13323)
14954;Inspeção em Estabelecimento Penal;10015;DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) | Atos Administrativos (9997) | Fiscalização (10015) | Inspeção em Estabelecimento Penal (14954)
